事;thing
俳句;haiku (Japanese poem of seventeen syllables)
特色;characteristic, feature
飲み物;drink
部;division, department, section
オランダ;Netherlands
華やか;gorgeous
高価;expensive
なじむ;become accustomed
誇る;be proud, boast
左側;left, left side
浮気;affair
好奇心;curiosity
公務員;civil servant, government employee
列;line
ソファー;sofa
初日;first day
プロセス;process
郊外;suburb
痛む;ache, hurt, pain
自衛隊;Self-Defense Forces
尽きる;run out
国連;United Nations
手軽;light
町並み;street, row of town houses
文部省;Ministry of Education, Culture, Sports
結びつける;connect, tie, bind
例外;exception
プロ野球;professional baseball
二枚;two (sheets)
まさしく;surely, exactly
変わり;change
用事;business
効率;efficiency
財布;wallet
徹底的;thorough, complete
己;oneself (first person pronoun)
目安;standard, criterion
目覚める;wake up
等しい;equal
一日中;all day
有無;existence, presence
HP (HP);home page
不要;unnecessary
猿;monkey
よみがえる;revive, come back
年賀状;New Year’s card
バブル;bubble
地味;simple
文学;literature
Tシャツ;T-shirt
放る;throw
攻める;attack
位置付ける;rank
四回;four times
マーク;mark
アルコール;alcohol
優しさ;kindness
漠然;vague, obscure
偉大;great, grand
脂肪;fat
言い出す;propose, suggest
青;blue
キーワード;keyword
ベランダ;porch, balcony
炎;flame
敏感;sensitive
鮮やか;vivid, lively
方式;method
瓶;bottle
縛る;bind, tie
実情;case, actual situation
円;yen
数々;many, numerous
同期;same period, same class
健全;healthy
西洋;the West
プレッシャー;pressure
赤ん坊;baby
打ち合わせ;meeting
欲望;desire, passion
軍;army
頼り;support, dependence
扱い;treatment
本質;nature, essence
市役所;city hall
車両;car, carriage
株価;stock prices
昼食;lunch
注射;injection
臨む;face
職;job, work
見た目;appearance, looks
三分の一;, num. one-third
全国的;nationwide
豚;pig
資本;capital
思いやり;consideration
見通し;prospect, outlook
十二年;twelve years
きっちり;tightly
砂漠;desert
エレベーター;elevator
浅い;shallow
カバー;cover
資源;resource
現実的;realistic
苦笑;wry smile
餃子;Chinese dumpling
食堂;cafeteria, dining room
もっぱら;entirely
裸;naked, nude
そうこう;in the meantime
いらいら（する）;be annoyed, be irritated, be impatient
記者;journalist, reporter
呼び出す;call, summon
主流;mainstream
さほど;(not) particularly
事務;office work
付け加える;add
国々;countries
地球上;on the earth
大企業;big business
倒す;knock down
写る;photograph
漏らす;betray
故郷;hometown
行使;exercise
体育;physical education, gymnastics
読書;reading
都;capital
ずれる;be out of step, slip
支障;obstacle
カウンター;counter
大規模;large-scale
大家さん;landlord, owner
昨夜;last night
角;corner
三日間;three days
撫でる;stroke
金利;interest
わくわく（する）;be bubbling
引きずる;drag, trail
バラバラ;separate
様;Mr., Mrs., Miss., Ms.
スカート;skirt
柄;pattern, character
回数;frequency
ユーザー;user
筆者;writer, author
筆;brush
絵本;picture book
町中;downtown
著者;author, writer
芽;bud, shoot
担当者;person in charge
嵐;storm
厚生省;Ministry of Welfare
豆;bean, pea
損;loss, damage
肝心;main, essential, important
保育園;nursery school, day care
ポスト;post, postbox, mailbox
呼びかける;call out, appeal
余談;digression
凝る;be absorbed, be devoted
水道;water supply
人形;doll
狙い;aim, target
大切さ;importance
よそ;other, elsewhere
蚊;mosquito
同年;same year
あっさり;easily, flatly, simple, plain
微笑む;smile
駆け付ける;run, rush
ゴール;goal
三本;three (long/cylindrical objects)
棚;shelf
しっぽ;tail
然り;(Classical) to be so
正常;normal
持ち上げる;lift, raise
見送る;see off
引き継ぐ;take over
違和感;uncomfortable feeling
ジャズ;jazz
次いで;next, after that
向き;direction, aspect
五年間;five years
安全性;safety, security
国境;border
包丁;kitchen knife
キー;key
どきどき（する）;throb, beat fast
賑わう;be crowded with
地獄;hell
豪華;luxurious, gorgeous
救急車;ambulance
十年間;ten years
不動産;real estate, property
広まる;spread, get around
グラス;glass
曲げる;bend, twist
屋敷;mansion, residence, estate
専門的;technical, academic
切り替える;switch, change
染める;dye, color
スキー場;ski ground, ski resort
ヒント;hint, clue
講義;lecture
裏切る;betray
余地;room, space
富む;be rich (in)
手書き;handwriting
ブーム;boom
ワールドカップ;World Cup
鬼;ogre, devil, demon
ホール;hall
似合う;suit
実績;achievement
訳す;translate
奴ら;fellow
キッチン;kitchen
課する;assign, charge, impose
養う;bring up, keep, support
別々;separate, individual
手足;limb
物価;prices
部品;parts, components
最適;best, optimum
宿題;homework
氏名;name
ダンス;dancing
溶かす;dissolve
人種;race
歌手;singer
銀;silver
ルート;route
第一号;first
従兄弟;cousin
概ね;mostly, mainly, generally
往復;round trip
起源;origin
広場;square, plaza
レモン;lemon
円滑;smooth
広大;vast, huge, extensive
TV (TV);television
カップル;couple
納豆;fermented soybeans
堂々;nobly, openly
肝臓;liver
味わえる;can taste, can enjoy
電源;power supply
練る;knead
飲み込む;swallow
職人;craftsman, workman
十三年;thirteen years
キャラクター;character
大地;earth, ground
具;ingredient
戸惑う;confuse, puzzle
寂しさ;loneliness
吐く;tell (a lie)
カーテン;curtain
情けない;miserable
飯;rice
幼児;infant
法案;bill
病;illness, disease
切符;ticket
障害者;disabled person, handicapped person
台;stand, rack
面白さ;interest, fun
生まれ;birth
しつけ;tacking (sewing)
指導者;leader, coach
原理;principle
東南アジア;Southeast Asia
ID (ID);identification, ID
金属;metal
しわ;wrinkle, line
思い浮かべる;recall, remember
一分;one minute
当面;present, current
貯金;savings, deposit
技術的;technical, practical
四歳;four years old
ダンボール;cardboard
生クリーム;fresh cream
名乗る;give one’s name
金曜日;Friday
生き残る;survive
演技;performance
取り巻く;surround, enclose
体質;constitution (physical)
ドイツ語;German language
参加者;participant
第三者;outsider, third party
感性;sensitivity, sensibility
谷;valley
本社;head office
都度;every time
死者;dead
四季;four seasons
ニュージーランド;New Zealand
センター;center
発送（する）;, v. send, ship, dispatch
パンツ;pants, shorts, underpants
ぐるぐる;round and round
ナンバー;number
持ち主;owner
到底;(cannot) possibly, no matter how
夕日;evening sun, sunset
乗り換える;change, transfer
リストラ;restructuring, downsizing
答弁;answer, defense
哲学;philosophy
当事者;parties concerned
シーズン;season
品;goods, article
高速道路;freeway
一員;member
委員会;committee
混ぜ合わせる;mix
興味深い;interesting
あれこれ;this and that
観客;audience
鮎;sweetfish, ayu
正午;noon, midday
首都;capital city
体内;inside the body
権威;authority
シンガポール;Singapore
酔う;get drunk, feel sick
最低限;minimum
傷つく;be injured, be hurt
カボチャ;pumpkin
老後;old age
当てはまる;apply
害;harm, damage
一位;first prize
率いる;head, lead, command
前者;former
数人;several people
届け出;report, notification
荻窪;Ogikubo (place name)
スイッチ;switch
試み;attempt, try
歩む;walk, go through
立ち止まる;stop, pause
いまいち;not quite, not really
麺;noodles
不安定;unstable, uneasy
原点;starting point, origin
一向;(not) at all
それゆえ;therefore, thus
ジュース;juice
不自由;inconvenience
悲鳴;scream
落札者;successful bidder
二千八年;2008 (year)
アドレス;address
励む;work hard, make efforts
双方;both sides, both parties
原爆;atomic bomb
傘;umbrella
チャレンジ;challenge
炭;charcoal
ミルク;milk
子孫;descendant
近頃;recently, lately
鞄;bag
五千円;five thousand yen
圧力;pressure, stress
斜め;diagonal
改良;improvement
俳優;actor
フィリピン;Philippines
効率的;efficient
情熱;passion
七人;seven people
焦点;focus
旅館;inn, Japanese-style hotel
食卓;dining table
歩き回る;walk about
悲劇;tragedy
長女;eldest daughter
議会;Diet, Parliament, Congress
盛る;serve, heap
転ずる;switch, shift
祭る;enshrine
笑み;smile
三度;three times
冷える;chill, become cold, feel cold
案;plan, proposal, idea
心理;psychology
縫う;sew
次ぐ;next to, after
持ち出す;carry out, take out
浸かる;be flooded
ドライブ;drive
テキスト;textbook
吸い込む;breathe in
木々;trees
ヒット;hit
箸;chopsticks
食欲;appetite
語;word
通信;correspondence, communication
一家;family, house, household
怒鳴る;shout
二十一年;twenty-one years
専業主婦;housewife
滝;waterfall
ひねる;twist
身分;position, status
敷地;site, ground
冷める;cool, get cold
ブルー;blue
先進国;developed country
バナナ;banana
取り扱い;treatment, handling
フィルム;film
日本酒;sake, Japanese rice wine
ＷＷＷ (ＷＷＷ);World Wide Web
透明;transparent, clear
即;at once, immediately
専門学校;technical school, college, vocational school
六十歳;sixty years old
朝日;rising sun, morning sun
スタジオ;studio
長期;long term
美人;beautiful woman, beauty
筆記用具;stationery, writing materials
石油;oil
早朝;early morning
店内;inside a shop
賃金;salary, wage
見回す;look around, look about
日程;schedule, itinerary
眉;eyebrow
レンズ;lens
五回;five times
俗;, na-adj. common, popular
パスタ;pasta
差し込む;insert, plug in
性能;performance, capability
絵画;painting, picture
刀;sword
理念;philosophy
裁判官;judge
戦略;strategy
核;nucleus, core
農民;farmer
コンクリート;concrete
環境問題;environmental problem
ライター;lighter
手入れ;repair, maintenance
帯びる;have a trace of, be tinged with
日曜;Sunday
昨今;nowadays
帯;kimono sash, belt
お好み焼き;okonomiyaki (Japanese-style savoury pancake with vegetables, meat, seafood etc.)
羊;sheep
前半;first half
ショー;show
研究所;research institute, laboratory
生姜;ginger
冒頭;beginning
メジャー;measure
公演;performance
剣道;kendo
倉庫;warehouse, storehouse
浴衣;yukata, cotton kimono
直径;diameter
残業;overtime work
殺人;murder
水気;moisture
原料;raw material, ingredient
群れ;group
新婦;bride
持ち物;personal belongings
転がる;roll
二匹;two (animals)
天候;weather
危険性;danger
年末;end of the year
感;feeling, emotion
イコール;equal
実質的;substantial
響き;sound
六ヶ月;six months
プラン;plan
グラウンド;ground, playground, sports field
メキシコ;Mexico
バー;bar
カップ;cup
訴訟;suit, action
郵送;mail, post
平ら;flat
赤字;deficit, loss, the red
二位;second place
刃物;cutlery, edged tool, knife
苦情;complaint
役所;government office
三百円;three hundred yen
チラシ;flyer, leaflet, handout
工具;tool
先週;last week
境;boundary, border
国語;Japanese language
三十人;thirty people
兵士;soldier
芸能人;entertainer
ふっと;suddenly
日付け;date, day
相違;difference, disagreement
決定的;definitive, absolute
友人達;friends
債務者;debtor
四ヶ月;four months
合間;interval, pause, spare moment
副作用;side effect
成分;ingredient, constituent, component
初;first
ドライバー;driver
印;mark, tick, check
今週;this week
慰める;console, comfort
一方的;unilateral, one-sided
アニメ;animation
さっさと;quickly
勢力;power, influence, strength
梅;plum, Japanese apricot
霊;spirit, soul
学者;scholar
車椅子;wheelchair
月曜日;Monday
北京;Beijing
論理;logic
見込む;expect, trust
四十分;forty minutes
歩道;sidewalk, pavement
政治的;political
九年;nine years
欠く;lack
報告書;report
近づける;bring close
壼;pot, vase
講座;course, lecture
レシピ;recipe
パートナー;partner
火事;fire
中世;Middle Ages, medieval
祝い;celebration
儲ける;profit, earn, gain
指差す;point
劣る;be inferior
ぶつける;hit
条約;treaty, agreement
像;figure, statue
二千円;two thousand yen
キャベツ;cabbage
デザート;dessert
議員;member of Diet/Congress/Parliament
涼しい;cool
性;sex, gender
仕草;behavior, gesture
泡;bubble, foam
年配;elderly person
万が一;just in case
挙げ句;in the end, finally
つなげる;connect, tie
弟子;pupil, disciple
一発;shot, punch
ささやく;whisper
制服;uniform
オーブン;oven
パンフレット;brochure
賞;prize, award
白人;white person
いささか;a little, slightly, rather
先頭;head, lead
真っ黒;black
すっと;quickly
公共;public, common
貴族;noble, nobility, aristocracy
散る;fall, drop
路地;alley, lane
緑色;green
逃げ出す;run away
銃;gun
今後とも;from now on, in the future
担ぐ;carry, shoulder
撒く;scatter, water
合理的;reasonable, rational
果て;the end
霧;fog
選択肢;choices, alternatives
密接;close
煮込む;stew
表;front
乗り物;vehicle
スパゲッティー;spaghetti
二千三年;2003 (year)
ごまかす;cheat, deceive
テクニック;technique
ステップ;step
任務;duty, task, mission, role
小川;stream
ロープ;rope
イエス;yes
上海;Shanghai
顕著;conspicuous, remarkable
生まれ育つ;be born and raised
ファッション;fashion
緊張感;tension
容器;container, vessel
転ぶ;fall, slip
東北;Northeast, Tohoku region
亡くす;lose
サラダ;salad
注意点;important point
DNA (DNA);DNA, deoxyribonucleic acid
米軍;US armed forces
デメリット;disadvantage
国道;national highway
フェリー;ferry
貿易;trade, commerce
照明;lighting
年々;year after year
十一年;eleven years
武士;warrior, samurai
者達;people
警察官;police officer
丸める;curl, wad
最新;newest, latest
他者;another person, others
賢い;wise, clever
腐る;rot, decay, go off
こだわり;concern, obsession
悲惨;miserable
キリスト;Christ
辛さ;pain
二三日;two or three days
講演;lecture, talk
誤る;make a mistake, be wrong
人権;human rights
両側;both sides
餅;rice cake
鎌倉;Kamakura
運動会;sports meeting
州;state
日常的;routine
掲示板;bulletin board, noticeboard
住宅地;residential area
亀;turtle, tortoise
四十代;forties
メロディー;melody
民衆;people, public
吉祥寺;Kichijoji (place name)
貫く;persist, stick to
新潟;Niigata
箇所;place, point, part
悟る;realize
擦る;rub, strike
体育館;gym
儀式;ceremony, ritual
店舗;store, shop
捕らわれる;be arrested, be captured, stick to
日本一;most ... in Japan
トンネル;tunnel
一歳;one year old
暑さ;heat
ビタミン;vitamin
用途;use
タイヤ;tire
朝鮮;Korea
三味線;shamisen
保険会社;insurance company
写す;copy, trace
チョコレート;chocolate
走り回る;run around
有力;powerful, strong, important
仕掛け;device, system
ポスター;poster
杉;Japanese cedar
可愛らしい;lovely
彫刻;sculpture, carving
眠り;sleep
見込み;hope, chance, expectation
爽やか;fresh, refreshing
先端;tip, point, forefront
伝説;legend, tradition
今頃;this time
学部;faculty, department
水泳;swimming
羽目;plight, predicament
ビザ;visa
将軍;general, shogun
青少年;young people, juvenile
肘;elbow
延々;on and on, dragging on
食器;dish
引き付ける;attract
深さ;depth
パスポート;passport
いつ頃;around what time
二重;double
埼玉;Saitama
受け付ける;accept
こねる;knead, squeeze, work
這う;creep, crawl
捧げる;offer, dedicate, sacrifice
居酒屋;(Japanese style) bar, tavern
見下ろす;look down, overlook
一貫;consistent
文献;literature
ワープロ;word processor
象;elephant
ズボン;pants, trousers
迅速;quick, swift
豆腐;tofu, bean curd
鉄板;hot plate, iron plate
明ける;begin, dawn, break
引っ繰り返す;overturn, upset, turn over
儲かる;profit, gain
久々;, adv. for the first time in a long time
効力;effect
枯れる;wither, die
絆;tie, bond
相性;compatibility
三分;three minutes
砂浜;beach, sand
責める;accuse, blame
参加費;participation fee
井戸;well
五十代;fifties
債務;debt, obligation
社宅;company housing
下記;the following, mentioned below
委員長;chairperson
槍;spear
くわえる;take, hold
店員;clerk, sales assistant
秩序;order, system
散々;severely, repeatedly
刺し身;sashimi
おかず;food, side dish
豚肉;pork
兵;soldier, troops
部長;head of department, manager
サミット;summit
三十歳;thirty years old
二倍;twice, double
ベンチ;bench
補う;supplement, compensate
争い;fight, struggle, competition
センス;sense
ハード;hard, tight
見逃す;miss, overlook
線路;track, railroad
四年間;four years
大蔵省;Ministry of Finance
世帯;household, family
覗き込む;look into
類い;kind, sort, type
活気;vigor, energy, liveliness
日差し;sunshine
人格;character, personality
ラスベガス;Las Vegas
鐘;bell, chime
若者達;young people
集まり;meeting, gathering, group
川崎;Kawasaki
支出;expenses, payment, expenditure, spending
軸;axis
食物;food, dish
損害;damage, loss
正義;justice, right
一目;glance
百年;hundred years, century
大型;big, large
頂上;top, summit
睡眠;sleep
緩やか;gentle, soft, mild
相互;mutual, each other
二十七;num. twenty-seven
OB (OB);OB (old boy), alumnus
上位;higher rank
心身;mind and body
債権者;creditor
燃料;fuel
ショップ;shop
長官;director general
強いる;force
シート;seat
追い込む;drive into
プライド;pride
題名;title
問い合わせ;inquiry
葱;leek
据える;set, place
業績;achievements
学年;grade, year
天下;the whole world
打ち出す;work out, come up with
栄える;prosper, flourish
科学的;scientific
千九百九十九年;1999 (year)
庶民;common people, ordinary people, masses
千九百九十年;1990 (year)
乗り出す;venture out
そんなこんな;what with one thing and another
覚ます;wake up
住居;house
仕掛ける;begin, start
一年半;one year and a half
こっそり;secretly, on the sly
組み立てる;assemble
案外;unexpectedly
きゅうり;cucumber
株主;stockholder, shareholder
見渡す;look around
誓う;vow, swear
二度目;second time
年上;older, senior
力強い;strong, powerful
ピーク;peak
みじん切り;minced, cut into fine pieces, chopped
強める;strengthen, increase
厚さ;thickness
十代;teen years, teens
タレント;celebrity, entertainer
ふさぐ;cover
牛肉;beef
枠組み;frame, framework
かゆい;itchy
着せる;put on, dress
二年目;second year
機構;mechanism, structure, system
着実;steady
世田谷;Setagaya (place name)
里;village, countryside, one’s parents’ home
決まり;regulation
独身;single, unmarried
十八歳;eighteen years old
高齢化（する）;aging
鮮明;clear, vivid
エアコン;air-conditioning, air conditioner
期限;period
物件;article, object
前条;preceding article
中間;middle, halfway
カラー;color
スポーツクラブ;sports club, gym
群馬県;Gunma Prefecture
フルーツ;fruit
グラフ;graph
画家;artist, painter
組み込む;build in
マイク;microphone
着替える;change clothes
計画的;planned, deliberate, premeditated
典型的;typical
打ち明ける;speak one’s mind
書物;book
隙;space, room, gap
範囲内;in range, within the limits
遊園地;amusement park
二十歳;twenty years old
偏見;prejudice, bias
理屈;reason, logic, theory
契機;momentum
一軒;one building
紛争;dispute, trouble, strife
魔法;magic
影響力;influence, impact
触れ合い;touching, contact
極力;as much as possible
私立;private
塩分;salt
同一;same, identical
顔色;complexion
何せ;anyhow, after all, in any case
資する;contribute
埃;dust
既存;existing
網;net
刑事;police detective
ボーリング;bowling
感触;feel, touch
明く;open
人柄;personality
各々;each
職務;duty
URL (URL);URL, Uniform Resource Locator
出し;soup stock
六十年;sixty years
薄れる;become dim
分量;quantity, amount
大概;generally
熱する;heat
味わい;profound, thought-provoking
中途半端;unfinished, half-done
はたち;twenty years old
一周;one round
異様;strange
髭;mustache
留める;hold, keep
立ち上げる;boot up, start
国鉄;national railway
乏しい;few, little
祝う;celebrate
倍;times
ただただ;all (someone) can do is, simply, nothing but
業種;category of business, type of industry
汽車;train
うどん;udon, thick white noodles
五歳;five years old
適度;moderate
日中;during the day
大嫌い;hate
居間;living room
心境;state of mind
住宅街;housing
無言;silence, in silence, without speaking
調味料;seasoning, spice
一回目;first time
何時間;how many hours
みそ;miso
花粉;pollen
あきれる;be amazed, be disgusted
数日;few days
信念;belief, faith
イスラエル;Israel
遅く;late
追い詰める;run down, corner
プラスチック;plastic
しつこい;persistent
塔;tower
家;house, home
六年生;sixth grade, sixth year
手話;sign language
痛める;hurt
研究開発;research and development
切り取る;cut off, tear off
民法;civil law
例える;compare
なじみ;familiarity
二十九;twenty-nine
地形;topography, landform
本能;instinct
にらむ;stare
悪魔;devil, demon
ハム;ham
二日目;second day
柿;persimmon
詩人;poet
しみじみ;keenly, heartily, from one’s heart
三千円;three thousand yen
来週;next week
気楽;comfortable, easy, easygoing
略;omission, abbreviation
免れる;escape, avoid
相次ぐ;happen one after another
一段;one step
